id,start,end,category,sub_category,summary,transcript
61,"00:50:24,700","00:54:02,755",1 Instruction,1.3 Validation,They discuss adjusting the camera or view for better visualization.,"Make sure you have tension with your Oh, oh yeah. You gotta regrab and then there's time management. Yeah. You have to do too, right? 'cause you're not gonna get through the case in, in a reasonable time at this velocity. Just monitoring that. As long as she's making progress. My general policy keep going, but there's always a limit to it. Okay. And keep that good tension that you had with your left hand 'cause that was showing it to you. Um, out not, not up that way. It's okay. Sorry. Do you ever use a locking grasper on the gallbladder if it's not inflamed or No. 'cause it concussion. So it's interesting because I'm an a CS surgeon, it's very rare that we have a gall bladder that looks like this. Yeah. And any of the gall, go ahead, please. Oh no, I was gonna say nice cat. Yeah, that's where you need to get under is that lip right there. Push, push, push. Wiggle, wiggle, wiggle. Almost never. 'cause it's lacerating and inflamed tissues. Nice. Okay. Pull out and take it. Great. That's exactly what we're gonna keep doing is working through that schmutz there. Nice technique. You know, I go, she knows this, who we talking? Go into that and sweep up and down. Yes. Because that's actually dissecting it off of the ductal structure. And you need to, so once you get into that plane sweep, if you're gonna use hook for d dissection, which I love to do, I'm just Yeah, no, you're okay. Having a hard time. There's nothing there. You're fine. Gotta just keep yeah, keep with that left hand tension too, because that'll give you something to work against. She's not getting anything because there's nothing to get. She's okay. All right. So we should switch what we're doing then. Okay. So now we can start, what Dr. George was saying would be our decision to score. Nice. There. Go. Yeah. That's a, that's nice. Are here almost. I think so. Let's look. Careful. So that's our careful, I wanna say because yeah, yeah. You're doing it. Looking at your looking where we were talking to. Okay. I think that's the, like ous coming down to that Arc Q. So I'm almost seeing this right here. Is that where you guys are seeing like that little lip there? Yeah. ' cause that's where we're gonna want to get everything down. So I would come right here. Okay. So see if I stretch what I would go slightly slower. Okay. And the reason is, I see this, see this right here and then an inflection point, right? Mm-hmm. That little, like you can see this. So if you imagine where base is, base is probably right there. Mm-hmm. Right now let's look over here. Right. I don't see a lot over there to help us. That's gallbladder there. Gallbladder there. Don't know down there. So I would be aiming here because I know that there's gallbladder there. Right there. I can see it. Yep. Move your thing. Um, so there's gallbladder there. I know. I don't know what's there. So I wouldn't head down into nothing. I just scared. Right. So I'd head from there to there, which gives me right there, which is slightly lower than you guys. Slightly lower. So that's why. Okay. Got it. Okay. So I'd start right there. Yeah, exactly. Right there. That might be a no in there. It's a weird spot for No, but it sure looks like that. Kind of looks like a nerve right here. Yep. Sure. Yeah. Just get through peritoneum. Yeah. So you'll just, boop zoo going, keep going through, through it. There you go. One more. Oh, that's good. Alright. You're aiming for here? Yep. Not down there. Nice. Wiggle, pull noise and then get back in your hole. Yeah. You aim aiming, see how you're aiming down. Nice. You fix it. Seeing it, you, you, you angles this way needs to be like that. Okay. Because you're gonna go around the backside here. Nice. Sorry. Nice. And make sure you thin it. Do the little sweeping. The technique here is you turn it sideways, push in with the heel. Okay. Push in, dissect in, dissect in. Don't turn it yet. That's sharp. There you go. Push in. Push in in the plane. Okay. Nice. Okay. And then turn it and now sweep again. And if it rips, that's a good thing. Great."
62,"00:55:04,575","00:57:09,030",1 Instruction,1.3 Validation,They discuss manipulating or exposing the gallbladder and surrounding tissue.,"Because you're looking over here. Is that one? Oh, it's 'cause I was pointing at things. Okay. Yeah, it's okay though. Yeah. Yeah. I took the light off of it because I thought it was disruptive. I feel like this is super glar and I'm, I'm like a little nervous to like, you know what I mean? I don't know Leah. No. Yeah, you're good. I think you have one more lip you can take right there. I was thinking like this guy right here. Exactly. Yeah. Nice. And just pull out. Nice. Bless you. Actually pretty good. Yeah, it is. I see your edge there, aren't we? I think, yeah. I think that's one more fat lip you can take right there. Cat. Getting your heel back in. That nice, that hole. Exactly. Perfect. Okay. Do you want to, um, pull your gallbladder medial and take a peek at what you're seeing on this side of that dissection plane? Yeah. Nice. I think that, that you can come through that part right there. This stuff, right? Yeah. That schmutz. Yeah. Staying in that same plane and saying high up on gallbladder. Push through the heel. Get some dissection. Yeah, because you, you freebie here, you're gonna be there anyway. Yeah, yeah. Right there. Yeah. The base is here. That's somewhere else. Yeah. And push through. Nice, nice. Take it again. Right there. You can tell that that's sch You can see that it's nothing behind it. Nice. I'll stop for a second. Okay. So look to the right a little more please. So I'm imagining right there is base in that little blackness. Okay. I couldn't imagine. But the reason it looks like fullness coming down. We saw this here, like I think, I bet you there's nothing there. I mean, there's liver there eventually, right? That's the anatomy I'm seeing. I agree. It, it looks like to me. Yeah. But I'm not totally sure what's going on over here. It looks, no, I don't wanna go over there. I'm not sure yet. No, I don't, I'm not saying avoid it. I'm just, I don't clarity yet. Right. We're talking about speed before. Exactly. Clear. Understanding the anatomy is super fast, right? I mean, I slow down. What? I don't know. Okay."
63,"00:57:37,005","00:58:56,625",1 Instruction,1.3 Validation,They discuss performing or evaluating a dissection or instrument movement.,"You got it. And just, if you're struggling, you can think about your left hand and, and ask yourself, am I doing what I need with that? Yeah. I think that's where you want to wanna get in right through that smudge. So I want you to be aggressive. Stop for a second. It's gonna be uncomfortable for you. It's okay. Okay. I want you to go into that plane that is all floppy there. Yeah. I want you to go in solidly and I want you to not pull back as you turn, but actually almost push in as you're turning. Okay. Try it out. Nope. Start sideways like this. And then like that. Like this, like this. You're like that right now. You wanna be like that on the hook. Push in with the heel like you were doing. You're just doing this way. Go right there. Push in. Push in more. Turn while you're pushing and it should pop through. Okay. That's it. Now you can wiggle it through if you want, but that's how you keep it hooked. Okay. How it kept falling off of you. 'cause you were kind of like, like not quite like not in there, you know? And then sort of pull as you take your move. Nice. Coming in this way again. You actually go up. Yeah. Yeah. Nice. Now you're talking. Nice, nice, nice. Good job. Yeah. Nice."
64,"00:59:06,015","00:59:12,675",1 Instruction,1.3 Validation,They discuss manipulating or exposing the gallbladder and surrounding tissue.,"Now you're just taking peritoneum. Yeah, sorry about to get a liver. Oh, okay. Alright. I can see right there."
65,"00:59:14,055","00:59:27,650",1 Instruction,1.3 Validation,They discuss identifying or dissecting around the cystic duct and artery.,"Sometimes we can you score peritoneum where we wanna just get our duct structures if you want, if you want score, if it's given it to you, you can, whatever you want to do. Yeah. It's dealer choice. I was thinking, I was thinking it's kind of giving us, if it is, take it. Sweep sweep in that plane. They're trying to sweep it off."
66,"00:59:42,650","01:02:51,335",1 Instruction,1.3 Validation,They discuss adjusting the camera or view for better visualization.,"Nice. Yeah. I go with the. There actually. I know it's a, yeah, it's aggressive, but it's hard to get in heel there. Yeah. And you can make pretty good progress with these scores. The risk though, for you, the risk is it's getting the liver, it's super easy to go on the hook and it folds over and you hook behind. This is gallbladder. Mm-hmm. You have CISO here, you think you're in this plane and it, it folds over and you actually get a, a nub and a gall bladder. Oh, gotcha. So that's the risk of hooking. Just make, think about your uh, left hand too. If you're struggling. That's my usual thing. If I'm struggling, I'll say, what is my left doing? Your left hand sabotaging you right now? Because I think you're almost pushing it in. She's absolutely pushing in. That crevice is her left hand. Yeah. Look the back digging with the camera. See where your left hand is. Yeah. You wanna be pulling it. See how you're making a hole there for yourself? Oh, sorry, cat. See that line? That's your left hand. Yeah. From the grab it, pull straight out right over and try and straighten it to this out more. And it maybe just the wrong grab for you to get that corner and if it is, we can always work somewhere else and then come back to that with the new, grab a little lower and I'll free that part up. You know. Cool. I think I, yeah, you can regrab. Good job not slipping. Yeah. Truly might be artery coming in on that, but Right in that I think is where artery is. Okay. I think artery's gonna be right in there. Yeah. I think we, I think it's hard to know for sure, but I think we saw it. Yeah. Still tough. Um, but I think you can maybe get one more move here and if it's not working, we can go somewhere else. The technique there was. You know your left hand when you're on this backside. Careful the liver. Yeah. Watch out. Yeah. Um, when your, um, left hand's in your own way. Mm-hmm. Your left hand. That's the principle she used. Okay. If it's in your way, let's go somewhere else then if it's not working. So we started our dissection coming along here. We know we wanna angle back towards the liver, so let's start doing that part of the dissection. And we know arties somewhere in here, right? So we'll save super, um, superficial layer by layer and show it. And duct too is a posterior probably do need. Yeah. The heel only works when you're on that way on the backside. That's a very specific technique to that. Okay. And the thing I want to keep in mind is that we are twisting this fat a little. So when we come across, we don't wanna dig. So just stay in nice and superficial there. There you go. That's your point. Yeah. Nice. And just show it nice and thin. Yeah. And see I want to, so you can see your tip there, right? Yeah. That's so meaningful. It's beautiful. Is that enough photos to it to like take it or That's it. Yeah. Yeah. Totally. What, why? Sorry, I don't understand your question. Like I just wanted to make sure that I saw enough and that it wasn't thin. It was thin enough. I was there that like, 'cause you also were going in and felt it and it wasn't thick, right? No, it was very thin. So it's cool seeing it and feeling it. Yeah. Get right. Yeah. That's a perfect plane right there. Nice. Good job. That's what I was saying is like, I felt like this. Yeah, you had a little extra stuff but it was fine. You like where she's headed? Um, almost. You get nice. Yeah, because I felt like before, like I said, I was just a little Alright. And just think about how you're pulling, make sure your left is still helping you. Nice. That was a nice adjustment. Coaching."
67,"01:02:59,615","01:03:08,855",1 Instruction,1.3 Validation,They confirm that the current action or position looks correct.,"She does have a bunch of dilated ducks, which we're thinking about, but we're safe here right now. Very safe. It just feels stressful, but it's actually safe if you don't just like to talk about it to make me feel better."
68,"01:03:11,130","01:12:51,485",1 Instruction,1.3 Validation,They discuss adjusting the camera or view for better visualization.,"I feel like this is where I want. Yeah. There you go. Yeah. Right there. Better? Yeah. We both want you to be inferior. Yeah. Right there. Perfect. Yeah. Nice job, Kat. Yep. All safe here. You can see through it. Even if there was a pad vein deep to you or some horrible thing you don't want to touch, you're safe here. Especially when you sweep. Yeah. That's your faucet. She's, that's the faucet. It's right there. See how it, everything's like the, all the surfaces are going into that point there. That's it. The base of the gallbladder is gonna be right here. Okay. Mm-hmm. Because you can see the, yeah. Yeah. I can see it. Yeah. Yeah, yeah. So she's almost, you get one more move and you're perfect. Yeah. Nice. You know, sweep. Sweep and just think about how you More aggressive. Yeah. Pull this more finger sweeps and sweep up. Nice. And make sure you see it. This is definitely territory. Yeah. There you go. Use your left hand. There you go. You're good. It's okay. Just watch your Bovie. Is that a purposeful move or accidental? That was accidental. That was my fault. Luckily it was actually productive. 'cause you were kind of dissecting everything up. I think you have one more move going posterior. Yeah. You can't see the tension on it. Yeah, exactly. Yeah, that's the, that's really good. Maybe it takes more than one. Yeah, maybe one more. Nice. Yeah, perfect. Right in that whole, and we'll just pull carefully so we don't whack the little off. That's little thick, right? But there's nothing there. It doesn't move like it's anything. So I would take it be very careful. This last one I wanna think about. That's, yeah, I think that's good. I think we're good. You can't go up but I think you're a little deep. Yeah, that's how I know. Just try and come in with the camera for her. Yeah. There's that top lip where that's what I was. Yeah. You gotta be deep that vessel once you get there. Okay. Exactly. And you can do that. Good sweep and dissection here that you've been doing. Yeah. Nice. Yeah. Maybe just take that whole thing. I dunno. Just don't go halfway across that vessel. That's all I really care about. If you're gonna go deep to it. Yeah, that's good. Don't pull hard when you're moving up because you'll it before. It cooks. Some good buzzes through. It's good. You pulled too hard. Okay. Get it rip before you problem, because that's really important part to be able to see. Yeah, I wouldn't keep pushing into it just a little bit here. Don't burn there again. Where we're right here. No on top of it because that's. Okay. Do you wanna come up this lip here? Or we can keep working back there. What do you wanna do? I almost feel like it's kind of coming up a little bit this way, but I wanna see how it, like with the, okay. And if it's, I guess. She's good. Yeah. There we go. Nice. Give a good pull with that left. Nice. Nice. That's really good. Yeah. So principal here, you guys, both of you. Mm-hmm. So you know you don't wanna be burning when it's touching the gallbladder 'cause you make a hole in the gallbladder, right? Mm-hmm. Okay. But you don't wanna pull super hard 'cause you want to coagulate vessels before they rip. Yeah. That's where I feel like I, so there's a tension. Mm-hmm. The way you reconcile that is you go in, you sweep, so you have auto mobility to get it away from gallbladder without having to pull hard. Mm-hmm. Okay. So that's why I'm sweeping is I'm developing the plane so that I can kind of pull just enough to get the hook off the gallbladder but no more. Got it. Nice. Okay. Like this kind of where we're sitting here. Sure. That looks better. Let's see if it cooks. Yeah. That looks better. Right? Yeah. Nice. It took about half second to come through and then, and it's really important with vessels, right? Because you can't pull hard on those. Yeah. Left hand. Is your left helping you or hurting? Yeah. Figure out how to, with my left. How to pull better out. You may just be running out of it. I think we're running out. Yeah, if we're running out, let's come back down. Okay. Next step. So get this there if you don't mind. So yeah, next step is actually not quite that. Um, it's gonna be not, yeah, I would probably turn my, like that come underneath. Come on This side of it. This guy right here? Yeah, but I, yeah, that's fine. Slide it down. There may be node right around it or duct. She has dilated ducts. Get some. Weird thing though. It almost looks like there's a plane here to move the way it moved. Looks like a note or something like it. Does it look like an So see how that moves independently of this? When you touch it, touch it again. See Yeah. Move. Right. This doesn't move at all. No. So it suggests to me there's a plane there. Yeah. Okay. Now just be careful 'cause now what you actually want to do though is you have a peritoneal covering here with leaflet. Mm-hmm. Okay. What you wanna do is actually grab that and just peel it back. Yeah. Perfect. It's the most efficient way to just expose that space and then you're gonna be left the fat structures and peritoneal on the other side. Perfect. Okay. Marilyn to pull or That's what I use. Yeah. 'cause it's curved or right angle. 'cause you want to grab a broad base. You don't want to grab a little bit of it Exactly right. Because it'll rip. Right. And then, and then ka The thing to think about is Maryland, Marilyn. Yeah. Is how you're pulling. 'cause you're gonna pull in the direction of the tissue, like the plane. And that way it should pull easy. Just like if you were doing open surgery. The same sort of tension principles. So guys, yeah. Do this. Let's have her do this. And I don't wanna talk about time and then we, because I remember we wanted to talk, clip it. Um, so you can get a along one tie on that side of the plane. One tie on another side of the plane. Yeah. Nice. And then I remember we like wanted a little more like, like this so that you're like grabbing like that, like that and pulling across a broad base of your instrument. And then I remember having a little piece of, a little bit, almost like in the crotch, Dr. George, say again, like you had almost a little bit of it going towards like the crotch of the Maryland a little bit. Uh, as much as you can get. It doesn't matter where. Yeah. It's as big as you want because physics where it's dripping. If it's plane, you keep going. If not, I see. Don't, yeah. That's a really productive one. Yeah, it was. I was just gonna be a little smaller. Yeah. Out. Sometimes when you gr grab just a little bit, you pull and it bleeds. So if you can spread the tension out across more tissue, where did ripped, I dunno if you noticed it ripped in the fat out of the plane. Exactly. Yeah. Grouping the fat, not the plane. I'm trying to figure out if I wanna, because I wanna be in this. Not yet. No, not there yet. The step here is take this peritoneal stuff down. That's all you're doing. You're all the way over to the fossa. So this stuff here, then that's enough. You don't need more there. It's this stuff up here that you care about. Okay. And you can pull your left hand at a slightly different angle to fix that. Yeah. Nice to get this. So we're going with this, this stuff right here? Yeah. And you can, there looks to be a lip up here that I would try to grab. The reason I have Q-tips is I go to point and then I get my finger dirty and I gotta change my gloves. I'll take a Q-tip. I am a pointer apparently. That's why I do it. Oh no. For laparoscopy, it's way, way better. Okay. Yeah. Yeah, I should. Yeah. No, you're doing good. Pulls well with this technology is you can look and, and I just, I think the future is, I'm gonna be able this look where I'm looking and, and have it show on their screen and I wouldn't pull back there anymore. So I think it's gonna happen. Yeah. So what I wanna do is I wanna get where AI will show you. Yeah, yeah. Dr. George for, for this next step, um, we still have more, we need to clean off here and we need to get our posterior cleaned off. I wouldn't worry about the posterior yet. Not yet. Okay. And sometimes you don't have to worry about it at all. Okay. So, so you see that's smooth here. That's smooth. See, it's rough all here. Yeah. It's the smooth, which is peritoneum and it needs to come down. Okay. The only thing I wanna point out to you see how it looks like there's a band here? Yeah. Why do you think there's a band holding, uh, the peritoneum up Right here? Yeah. Um, 'cause of like the, um, 'cause I didn't go through like the per for it or why do you think there's a band holding the peritoneum up there? Are you talking about structures in it? I will you tell me why is this trung up? Oh, because of the weight of the, um, anatomy's actually formed. There's an artery under it. Yeah. It's guaranteed. Yeah. It's holding everything up. Ductal s you stretch your left hand out, it's just the artery like here and it goes dway. Okay. So there's an artery there, which is great. You wanna expose it. So if you grab the perone over the top of it, you'll actually start to see it. Okay, cool. Look right here. Yeah. You keep going there. I want you up there. Yeah, so like Right that, but uh, hard to do it that way, but you can try trying to take a bigger bite. Don't grab the artery. Yeah, I know. I'm trying to think about how, yeah, yeah. And you just saw it. It's pretty shitty, but I know I'm just little bigger about how to get at, how to hold it, but like, okay. Don't get too aggressive. Don't get greedy. Get what you get and then stop and re recalibrate. There you go. That's it. Now you're doing, so this is a really fast way to, to skeletonize ductal structures in the cystic triangle. Okay. Okay. Okay. There's a couple more techniques that help this too, but a weak sauce. There's a Please. I was gonna say, I think that there's a tension plane here you could pull, but. Try it. Pull on it or, yeah, right here. That was a good problem. Perfect. Okay. There's another technique, kind of the roll technique for grabbing this technique. You want this in your, in your thing, but you want to garage base. So what you gonna do is you're gonna take your time, you're gonna push in and then push that way. Actually it'll bring that up into your, into your instrument. We're trying to get that numb in instrument. That's it. And then grab it. Okay. And I don't think your tips grabbing anything else. And I'll try and rip down. So not quite big enough. So you're gonna have a little farther past to do that same move. It's hard. That's it. That'll work."
69,"01:12:52,775","01:13:00,155",1 Instruction,1.2 Inquiry,They confirm that the current action or position looks correct.,"Should work. Yep. Keep going. It didn't, but we see an there. Yeah. Yeah, for sure. Okay, so now you got a little more."
70,"01:13:00,155","01:17:32,525",1 Instruction,1.2 Inquiry,They discuss identifying or dissecting around the cystic duct and artery.,"What do you wanna do next, Leo? Um, well I think that this can come down here. Agree. Because when you pull it, I saw that. So it's like, yeah, this grabbed here and pulled. Big bite of it. Yeah. Big bite of it. It's all weak fat. Your plane's right? Nope. You grabbed off plane one. This is your plane this time. Above the plane. This time. Below the plane. That's your plane right there. That's it. Nice. Good job. Ka Like the plane is, that's your plane right there. So you wanna go above? Yeah, but put your, set that time just above the plane and push in and then grab. That's it. That's the move. That's the most efficient way of dissecting a plane. Oh, beautiful pool right there. Nice. That's probably as much as it's gonna give you there. Okay. I'm still seeing gallbladder there. I know, I, it's kind of weird, huh? I'm wondering if we could thin and come across the anterior to it. Yeah. What the hell's going on? I just still don't understand the anatomy. Yeah. So it feels weird because it looks like, I feel like I still see stuff going like right here. Is that what you guys are talking? Maybe? Yeah, I think that might be gallbladder, but who knows? It's weird. Oh, okay. I'm gonna ask you guys to switch. I'm only gonna do it 'cause we were doing this for two hours now. Yeah. Okay. Oh, and I don't think we need to be through the cystic di dissection hour though, actually. Right. For an easy one. So hopefully you feel like you've gotten enough learning. I got, yeah, I got good. Okay. Why Don you guys switch? I'm not at all. I promise. Today was very great. Thank you. Yeah. And some that was Rich. Can't learn everything in one session. No. While you guys are switching. So yeah, this hasn't touched anything yet. Nope. Okay. I was good about it. Okay. Just wanna make sure I set down again. Here's this little guy. Thanks. Good job. Yeah, you did really far. Very good tip. Are good technical learning for you? I had really good coaching. Oh, sweet. Really good. It's all these little minutes. Thank you. You know that you, when you're learning mind if I get a step over here continue. Exactly. Exactly. Yeah. Okay. My, that's interesting. Yeah. I think that that very weird. It's gotta be, I think that's in particular. Yeah. I'm gonna regrab just 'cause it has a double arc. One on these side. You know what's going on with this, but I feel like I learned a lot. Thank you guys. There we go. It's important for your future patients. Yeah. Yeah. Oh, thank you. Oh, I see. So I think you're gonna, yeah, generally speaking, I find it y at this phase. Thank you. Okay. Honestly, because the reason is you want to put the cystic duct on scratch. Oh, my bad. Yeah, I agree. I'm gonna, I'm gonna tint with my right and then regrab it, my left. Thank you. You came in before you kind of like came in, rolled it, and then moved it on the in field before when we were doing the other, um, lady talking. Yeah. Is this kind of where you were talking about where you pushed it in and you rolled it and we pushed a little back, uh, with the, your hand cat. We, right now we we're gonna grab below the artery, typically. Will you come in dig? Yep. Just trying to see exactly where I wanna grab, I think lower. Yeah, yeah, yeah, exactly. See what that gives you. Then we push a, a hair more cat on. Yeah. Are you not able to push back more with your Yeah. Okay. Is that okay? Yeah. Yeah. I'm not super convinced by that. Let's, so Ken, your job is to push the edge. That's how you know you pushed it up. Yeah. It's not ripping off and you elevated all the cystic stuff out of the. The fsa, but not so much. The liver folded over. Nice. So you're gonna experiment with those three variables, you to see which one is best for her. Let's take a peek exactly what we think is going on. What do we think? What do we think? It's hard to tell actually. Super hard to tell. Oops, sticky. I just wanna make sure we're thinking correctly about where her infundibulum is good, because she has dilated ducts. So I don't wanna get, you know, confused and go too low. Here's our sulcus of per se. Above that, I mean, maybe I'll take some of this. I don't know if we need to, but if we take some of this down."
71,"01:17:34,195","01:20:00,349",1 Instruction,1.2 Inquiry,They discuss adjusting the camera or view for better visualization.,"What do you think, Dr. George? So I would actually, uh, I pull everything out so I can see. Now it's like, is this node sure, maybe I don't know. Or is this, I don't know. I don't know. So where it's safe. So where is it? Safe? Well, safe technically is higher and posterior. We that those are safe. Yeah, there's, there's several Parents are safe shortly. You can go there if you wanted it. Or you can go medially this, this fat, you know, you could start to bring that fat down too. Okay. That's gonna be safe. As long as you're careful, right? You don't want, this is not where you aggressively engaged and instrument can really see what goes and then feel around in there. Feel free to fill the doc. And we don't know our base is, no I don't. So we think our pops to either their note or it or it's a Right, right. But if it's, if it's, it's in the base is gonna be there. So I wouldn't spread up there. 'cause that could be dull. I think it might be. Yeah. So this is nice fast cat here. We saw the artery earlier. Where was that? That white right there. That's a safe spot. Use the landmark. You come just medial. Just lateral. See if it gives it to you. Okay. Maybe like. In here. Sure. Try it up. If it gets it to you, it feels Looks pretty empty. It does it. You push in and it goes in. Yeah. That's a freebie. You're gonna get all the way through on that. I bet you just trying to make sure feels okay and make sure we don't see any white. You wanna look in that hole with, there you go. Good job. Yep. Now it feels like nothing. Burger, right? It does. Feels like absolutely nothing because you're past the dock. All right, push in, engage, push in, engage. That's it. Now, push in hard, not engage. That's it. Okay. So we're technically through. If you know a safe spot, just go for it. That's speed. Make sure you keep her. Yeah. But you know the anatomy move faster. Focus. Okay. Okay. Now you're red ductus. Yeah. Or something. Theoretically anterior to me. Okay. A safe spot here. I'm gonna do one more. Good. Spread. Engage. We don't think we're too low. We don't know. Okay. It's safe here. Okay. All right. You don't know where base, I don't know, but I feel like I can come here. I that too. Good. That's exactly where I would've gone. Pushing a lot harder. There you go."
72,"01:20:01,670","01:21:22,105",1 Instruction,1.3 Validation,They discuss identifying or dissecting around the cystic duct and artery.,"Because you know what the anatomy is, right? Yeah. It's no need to be tentative there typically. Good. I love the bend on that. Nice job. Really, really good. So she's bringing it up, she's doing that to stay close to dock again is one of the 10,000 things. Right. She's demonstrated multiple really fast. Okay. And if you're able to swing around and pop on this side, we'll see it on through. Yeah. Nice. Thanks, Degan. Okay. That was great. Now you know our base. I can take that. Yep. You can see in there there's base. Mm-hmm. Okay. Now we're, again, now we're covered with gas. Right? Okay. We're talking about speed before. All right, well, I'm gonna, I, I was gonna get my hook and take some of this down. Sure. Go for it. Cool. Could be a, a artery coming through there. Remember? Could be all Perfect. Thank you. Yeah, that's not an artery, right? Just move like an. Nice and thin. Okay. Yeah. Do it. It's not our, don't pull so hard though, because there's true fat, fat vessels. Okay. I'm not making moves by doing this. Let's think."
73,"01:21:23,215","01:21:53,475",1 Instruction,1.3 Validation,They discuss placing or confirming clips on the cystic structures.,"You should be thinking, where would I go next? Always. Oh, not you, her. I was like, I am. I know you are. Okay, because you have to go next. No, I'm thinking like that was what I was thinking earlier is putting her stuff in there because that was clear and almost like you could see if you could get a lip in there that off big sweep, aggressive sweep all the way up and down. Even rips. It's okay. Big sweep. 'cause that's gonna be where we clip, so we need length there. Okay. Right. That, that's actually very helpful to think about the big sweep. Yeah. Even more sweep up even more. It's fat all the way up."
74,"01:21:55,335","01:25:19,615",1 Instruction,1.3 Validation,They discuss identifying or dissecting around the cystic duct and artery.,"Can you dissect it up more? You know, if not, we can't. Okay, great. How? Get to the, here we go. Big sweep here too. Strip that off, that duct. That's it. That's the move. And then don't pull so hard when you're doing it because you, sorry, that was my thought was continue cleaning some of that off. Working through what she's working through right now. Okay, now you, so it's a test, right? I just broke answers that are correct. But I, you should always be thinking, what would I do next? And when she does that next and it works, you're like, okay. And if what you want to do next, she never does. You should wonder why big sweeps there. So you see edge of duct right now? I do saw, right? Yeah. You're brief. That I'm staying away for. So you're almost in the wrong place to do your dissection. Ah, okay. You know what I mean? Because you're gonna, if you cut this, you have less tissue there to do your sweet width. Oh. So I should not plan. So just come out. Okay. You go into the right plane now you know where it's go right next to it. Get a lot of tissue there. Still not getting enough. That's better. That's okay. It is what it's, and sweep up it out aggressively very aggressively. Even more aggressive. Rip it go, don't you? I'm ripping. I'm ripping. Okay. Okay. Yeah. And then clear off. See, I'm missed it. I know. I'm trying to get in there. Yeah. That was a good move. Noting I see my plane there. Okay. Yeah. Too much digging. Oh, I see it right there. Right there. Hanging out. Yeah. Totally. Okay, so there's, keep going. I'm just gonna talk. Okay. So, uh, there's some risk in this. Yep. Because we're going in, we're picking things out and we can't really see on this side. On the medial side, you can see really well and I, these moves pick me easier here. I do them, but they're a little riskier. Right. I really like keep doing what you're doing, actually. Stay there. Okay. I really like scoring on this side though, because I do too. It releases it. I can pull it out farther and I, I'm coming through fat. I can do nothing. There's no perine blocking, you know, so I, you know, it has to be cut regardless. So you left hand in your own way a little bit. So I was thinking about it, but it's currently fine. Get one or you get one more give up. That's really nice though, right? We're starting to see base over there now. Okay. I see my duct coming in nice and clean. I think I can still clean the duct. Really doing well here. I think I can still clean behind my duct. Yeah, you can't, but what? It's up to you. But remember how we got started at this? Mm-hmm. We were, we pulled this down. You're like, where do we go? Right. We knew one thing. What did we know artery was. Mm-hmm. We use that as our starting point. Okay. Okay. You still know where artery is? Mm-hmm. And you can use the same principle now to take your Maryland on the other side of it. You know exact words. You can feel it. It's very solid. You can feel your way just lateral to that. Okay. With, I mean, appropriate caution, right. Because there could be things coming across. Right. Okay. But you know, there's something there that you can skeletonize."
75,"01:25:21,535","01:27:49,000",1 Instruction,1.3 Validation,They discuss adjusting the camera or view for better visualization.,"We come back a sec. Dig again? Yep. You're good. There she is. Okay. Thank you. And now we come back in. Sweet. Mm-hmm. Okay. Your art arties right here. Sure. So you feel your way. I actually start on it actually, and I, and then roll off of it. Yeah, that's what I do. Okay, because you'll be fast. Turn to gauge. That feels like absolutely nothing. Your technique's off you beating on for technique. Yes. So do it again. Okay. I want you to watch this time. What happened? You're upper time. Do it again. Shoot. Don't change the data. You changed something. Did I? You changed the thing you needed to change. You rotated it down. Maybe I just thought about it more. When you rotate it up, you're just pushing down it and this one doesn't engage. Okay. You're not dissecting, so you rotated down there. Both engaged. You press them both in, there's friction. Got it. And bam, you're ready? Yeah. Yeah. Yeah. So your angle is when you see it fly like that, it's okay. Just adjust. Okay. But you did it three times without adjusting. Leah, come on. It's okay. But then when I asked you, you subconsciously adjusted. It's ruined my teaching point. Everyone still saw the flailing, so, so I don't know. It's bleeding. Maybe fat, maybe known through free for you. Right. So, but there could be something. Yeah, see where you're on the other side. Just because I'm, see if you can switch over. There you go. No left hand. Maybe my ankles off yourself. No, I can't. I think maybe eye angles off of that. I go little harder. I dunno. I think you're good. You think so? Yeah, sure isn't nice. Well look at base on a second. This is interesting. So I don't, it almost looks like it's there, but then it looks white here and we dissect it over there. So I don't know what's, I actually don't know. That sure looks like base though. But this also looks like gallbladder. It sure does. That's a very odd, so that just means slow down so we don't understand anatomy, right? Yeah. So anyway, you're down here. You could be lower than we think. Yeah, I agree. Right. That being said, I think you're okay to go through there and get it out. Get up the other side. Okay. Maybe I'll come up higher or you can start higher, slightly higher, more, you know, whatever. Just don't get a gall. That's."
76,"01:27:52,219","01:28:04,820",1 Instruction,1.3 Validation,They confirm that the current action or position looks correct.,"That's a handrail that, can you just say it again? Your time, dammit. Just flopped. I dunno if you noticed. I did see how much more solid that is. Yeah. You were talking about speed wasted. Moves are slow."
